,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_leaf_nodes,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1 Score,split1_test_F1 Score,split2_test_F1 Score,split3_test_F1 Score,mean_test_F1 Score,std_test_F1 Score,rank_test_F1 Score
0,0.040976107120513916,0.003160389850053024,0.00524824857711792,0.0021652851429344853,90,2,10,41,"{'max_leaf_nodes': 90, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 41}",0.8269230769230769,0.7628205128205128,0.8461538461538461,0.8387096774193549,0.8186517783291977,0.0329553775553887,33,0.7768595041322314,0.6336633663366336,0.7894736842105262,0.782608695652174,0.7456513125828912,0.06481029961093232,34
1,0.08420765399932861,0.01464241153529172,0.005746424198150635,0.0012978778612878776,90,2,20,41,"{'max_leaf_nodes': 90, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 41}",0.8461538461538461,0.7756410256410257,0.8333333333333334,0.8193548387096774,0.8186207609594707,0.026562789218961096,36,0.793103448275862,0.6391752577319588,0.7719298245614035,0.7543859649122807,0.7396486238703763,0.05960616724476918,37
2,0.10295635461807251,0.00658512462138132,0.006489872932434082,0.0008574993006558994,90,2,30,41,"{'max_leaf_nodes': 90, 'min_samples_split': 2, 'n_estimators': 30, 'random_state': 41}",0.8653846153846154,0.782051282051282,0.8397435897435898,0.8258064516129032,0.8282464846980976,0.030213302882807914,22,0.817391304347826,0.6382978723404256,0.7747747747747747,0.7567567567567568,0.7468051770549458,0.06640325458474719,31
3,0.04147595167160034,0.0020598566652904634,0.004249215126037598,0.0012994028503041004,90,3,10,41,"{'max_leaf_nodes': 90, 'min_samples_split': 3, 'n_estimators': 10, 'random_state': 41}",0.8333333333333334,0.7948717948717948,0.8333333333333334,0.8,0.8153846153846154,0.018040060614705523,40,0.7903225806451613,0.6862745098039216,0.7719298245614035,0.7304347826086958,0.7447404244047955,0.040124528052402894,35
4,0.07070893049240112,0.006604756517675182,0.00549626350402832,0.0008654123811038028,90,3,20,41,"{'max_leaf_nodes': 90, 'min_samples_split': 3, 'n_estimators': 20, 'random_state': 41}",0.8653846153846154,0.8205128205128205,0.8397435897435898,0.8258064516129032,0.8378618693134822,0.01737357917425435,2,0.8292682926829269,0.7142857142857143,0.7787610619469026,0.7610619469026549,0.7708442539545497,0.04114184636975922,2
5,0.09419715404510498,0.0030278215266882624,0.005505681037902832,0.0005004103683484967,90,3,30,41,"{'max_leaf_nodes': 90, 'min_samples_split': 3, 'n_estimators': 30, 'random_state': 41}",0.8782051282051282,0.782051282051282,0.8525641025641025,0.8258064516129032,0.834656741108354,0.03557666918008162,4,0.8429752066115703,0.6458333333333335,0.7964601769911505,0.7652173913043477,0.7626215270601006,0.0728834493416576,9
6,0.03498530387878418,0.000700924732579995,0.0034983158111572266,0.0004997257967939562,90,4,10,41,"{'max_leaf_nodes': 90, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 41}",0.8397435897435898,0.7884615384615384,0.8397435897435898,0.8387096774193549,0.8266645988420183,0.022060585590457368,26,0.7863247863247863,0.6732673267326732,0.7787610619469026,0.7787610619469028,0.7542785592378163,0.04687367688882762,22
7,0.06822019815444946,0.003113608058612805,0.005491793155670166,0.0014988175145689495,90,4,20,41,"{'max_leaf_nodes': 90, 'min_samples_split': 4, 'n_estimators': 20, 'random_state': 41}",0.8525641025641025,0.8012820512820513,0.8589743589743589,0.8193548387096774,0.8330438378825475,0.023715145180565195,9,0.8067226890756303,0.6804123711340206,0.8103448275862069,0.7454545454545455,0.7607336083126008,0.05305944668708957,12
8,0.10195177793502808,0.009393381954438229,0.006506145000457764,0.0008725023326952636,90,4,30,41,"{'max_leaf_nodes': 90, 'min_samples_split': 4, 'n_estimators': 30, 'random_state': 41}",0.8525641025641025,0.8076923076923077,0.8589743589743589,0.8258064516129032,0.8362593052109181,0.020658869643413708,3,0.8067226890756303,0.6808510638297872,0.8070175438596491,0.7567567567567568,0.7628370133804558,0.05156679466715903,8
9,0.03824186325073242,0.004605360274662874,0.0034976601600646973,0.0004990697262977069,90,5,10,41,"{'max_leaf_nodes': 90, 'min_samples_split': 5, 'n_estimators': 10, 'random_state': 41}",0.8461538461538461,0.8076923076923077,0.8269230769230769,0.8387096774193549,0.8298697270471465,0.014524444342713643,17,0.8064516129032259,0.7058823529411764,0.7567567567567567,0.7863247863247863,0.7638538772314862,0.03785028265222587,5
10,0.06321406364440918,0.0012991966216998317,0.0054967403411865234,0.0014988979678239372,90,5,20,41,"{'max_leaf_nodes': 90, 'min_samples_split': 5, 'n_estimators': 20, 'random_state': 41}",0.8653846153846154,0.8076923076923077,0.8333333333333334,0.8451612903225807,0.8378928866832093,0.0208655777333902,1,0.8264462809917356,0.7000000000000001,0.7678571428571429,0.7894736842105264,0.7709442770148512,0.04600660880498814,1
11,0.10595887899398804,0.004739189873171593,0.007495284080505371,0.0008657562240256834,90,5,30,41,"{'max_leaf_nodes': 90, 'min_samples_split': 5, 'n_estimators': 30, 'random_state': 41}",0.8782051282051282,0.782051282051282,0.8461538461538461,0.8193548387096774,0.8314412737799834,0.035315616454417845,12,0.8403361344537815,0.6382978723404256,0.7894736842105262,0.7543859649122807,0.7556234139792535,0.07431167439568867,19
