,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_leaf_nodes,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1 Score,split1_test_F1 Score,split2_test_F1 Score,split3_test_F1 Score,mean_test_F1 Score,std_test_F1 Score,rank_test_F1 Score
0,0.03348040580749512,0.007529311384904156,0.004247725009918213,0.0016388136075039363,90,2,10,41,"{'max_leaf_nodes': 90, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 41}",0.8205128205128205,0.7628205128205128,0.8461538461538461,0.832258064516129,0.8154363110008271,0.03170461923830446,15,0.7704918032786884,0.6185567010309277,0.7894736842105262,0.7833333333333333,0.7404638804633689,0.07071560541790116,20
1,0.05821722745895386,0.011024304559733689,0.004496932029724121,0.0005002025909031208,90,2,20,41,"{'max_leaf_nodes': 90, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 41}",0.8205128205128205,0.7628205128205128,0.8141025641025641,0.832258064516129,0.8074234904880067,0.02656182537407971,31,0.7704918032786884,0.6262626262626263,0.7521367521367521,0.7833333333333333,0.73305612875285,0.06264612795392865,28
2,0.06995987892150879,0.003388739730409604,0.005746781826019287,0.0004334289893198749,90,2,30,41,"{'max_leaf_nodes': 90, 'min_samples_split': 2, 'n_estimators': 30, 'random_state': 41}",0.8269230769230769,0.7948717948717948,0.8269230769230769,0.8193548387096774,0.8170181968569066,0.013154241847068928,13,0.773109243697479,0.673469387755102,0.7610619469026548,0.7666666666666666,0.7435768112554756,0.040700389394059226,14
3,0.03023308515548706,0.0060119262057995925,0.0044977664947509766,0.0011181129934804768,90,3,10,41,"{'max_leaf_nodes': 90, 'min_samples_split': 3, 'n_estimators': 10, 'random_state': 41}",0.8205128205128205,0.782051282051282,0.8141025641025641,0.8193548387096774,0.8090053763440861,0.01574831074071025,30,0.7704918032786884,0.66,0.7563025210084034,0.7741935483870969,0.7402469681685472,0.04680939285178589,21
4,0.04772341251373291,0.0034179979098348866,0.005496859550476074,0.0014972691560626022,90,3,20,41,"{'max_leaf_nodes': 90, 'min_samples_split': 3, 'n_estimators': 20, 'random_state': 41}",0.8333333333333334,0.7564102564102564,0.8205128205128205,0.8193548387096774,0.807402812241522,0.02994727002527366,32,0.7833333333333333,0.62,0.7543859649122806,0.7704918032786885,0.7320527753810757,0.06550162271815645,29
5,0.0697106122970581,0.0031099900533892717,0.006495058536529541,0.0008648300209645006,90,3,30,41,"{'max_leaf_nodes': 90, 'min_samples_split': 3, 'n_estimators': 30, 'random_state': 41}",0.8461538461538461,0.7884615384615384,0.8205128205128205,0.8193548387096774,0.8186207609594707,0.020443631291292716,6,0.7966101694915254,0.6666666666666667,0.7543859649122806,0.7704918032786885,0.7470386510872904,0.048787869098696444,8
6,0.026486337184906006,0.004326956929914111,0.002998173236846924,1.97686242482388e-07,90,4,10,41,"{'max_leaf_nodes': 90, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 41}",0.8076923076923077,0.7628205128205128,0.8141025641025641,0.832258064516129,0.8042183622828785,0.025542966662850754,38,0.7540983606557377,0.6185567010309277,0.7521367521367521,0.7758620689655172,0.7251634706972337,0.06224977303890315,40
7,0.06096529960632324,0.004180033337971574,0.0074964165687561035,0.0015001522016652663,90,4,20,41,"{'max_leaf_nodes': 90, 'min_samples_split': 4, 'n_estimators': 20, 'random_state': 41}",0.8397435897435898,0.7692307692307693,0.8012820512820513,0.8258064516129032,0.8090157154673284,0.02678050870794175,27,0.7899159663865546,0.64,0.7207207207207207,0.7692307692307694,0.7299668640845112,0.05769548707321029,32
8,0.07096022367477417,0.009104362662188064,0.005496859550476074,0.0004993688522347749,90,4,30,41,"{'max_leaf_nodes': 90, 'min_samples_split': 4, 'n_estimators': 30, 'random_state': 41}",0.8525641025641025,0.7756410256410257,0.8076923076923077,0.832258064516129,0.8170388751033912,0.02870019936775125,10,0.8099173553719008,0.6464646464646464,0.7272727272727272,0.7833333333333333,0.7417470156106519,0.06257965311876729,17
9,0.02423572540283203,0.001477683751783465,0.0039980411529541016,0.0009987355559160703,90,5,10,41,"{'max_leaf_nodes': 90, 'min_samples_split': 5, 'n_estimators': 10, 'random_state': 41}",0.8333333333333334,0.7884615384615384,0.8205128205128205,0.8193548387096774,0.8154156327543425,0.01650049893024046,16,0.7868852459016393,0.6666666666666667,0.7586206896551724,0.7666666666666666,0.7447098172225363,0.04621989761537099,10
10,0.048473477363586426,0.001499056939339301,0.004996895790100098,0.0012247540072639243,90,5,20,41,"{'max_leaf_nodes': 90, 'min_samples_split': 5, 'n_estimators': 20, 'random_state': 41}",0.8397435897435898,0.7756410256410257,0.8141025641025641,0.8193548387096774,0.8122105045492143,0.023184148506506404,23,0.7933884297520661,0.6534653465346535,0.743362831858407,0.7586206896551725,0.7372093244500748,0.05163685196398322,22
11,0.08869963884353638,0.018352891539155543,0.00799548625946045,0.002446441622457337,90,5,30,41,"{'max_leaf_nodes': 90, 'min_samples_split': 5, 'n_estimators': 30, 'random_state': 41}",0.8525641025641025,0.7948717948717948,0.8141025641025641,0.8258064516129032,0.8218362282878412,0.020897698210374904,2,0.8099173553719008,0.6666666666666667,0.743362831858407,0.773109243697479,0.7482640243986134,0.05267961802078175,2
